id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,opening_eco,opening_name,opening_ply
5cgBygpI,FALSE,17,resign,white,15+5,storm28rus,1500,shivangithegenius,1094,B20,Sicilian Defense: Bowdler Attack,3
UhXXBOMY,TRUE,36,resign,white,10+0,robotsmoke,1307,shivangithegenius,1106,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4
mCij4hBq,TRUE,13,resign,black,10+0,shivangithegenius,1113,ivangonzalez123,1423,B21,Sicilian Defense: Smith-Morra Gambit #2,3
ifUMWtVj,TRUE,69,mate,white,10+10,shivangithegenius,1078,sureka_akshat,1219,D01,Queen's Pawn Game: Chigorin Variation,4
Wf0zuLQQ,TRUE,43,resign,white,10+10,gmcarlsen403,1825,shivangithegenius,1079,C45,Scotch Game: Haxo Gambit,8
srz9QfSN,TRUE,54,mate,black,10+10,mannat1,1328,shivangithegenius,1038,D01,Queen's Pawn Game: Chigorin Variation,4
NS6ccssb,TRUE,53,resign,black,10+10,shivangithegenius,1056,biyanivedant01,1156,D10,Slav Defense,4
M3vpf2Ki,TRUE,66,mate,black,10+10,shivangithegenius,1077,chinmaysharma,1148,D06,Queen's Gambit Refused: Marshall Defense,4
fXhNOnOn,TRUE,64,resign,black,10+10,biyanivedant01,1358,shivangithegenius,1036,B21,Sicilian Defense: Smith-Morra Gambit #2,3
DiCTkvZH,TRUE,64,mate,black,10+10,rv0209,1200,shivangithegenius,1002,B52,Sicilian Defense: Canal Attack |  Main Line,6
FSkgvV2E,TRUE,54,resign,white,10+10,vihaandumir,1203,shivangithegenius,1019,B27,Sicilian Defense,3
F1mRjzPr,FALSE,21,resign,black,15+3,shivangithegenius,1019,shamlanaseer,1500,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
Lq24M4KQ,FALSE,11,resign,white,18+0,medovich,1422,shivangithegenius,975,B20,Sicilian Defense: Bowdler Attack,3
lHNM8cl5,TRUE,19,resign,black,10+0,shivangithegenius,976,sorethea,1832,B06,Robatsch (Modern) Defense,4
GfeEgLV3,TRUE,28,resign,white,10+0,rico21,1569,shivangithegenius,978,D00,Blackmar-Diemer Gambit: Tartakower Variation,10
OR6aULrW,FALSE,22,resign,black,15+0,shivangithegenius,978,jojo58,1500,A45,Indian Game,2
Yg006qwa,FALSE,37,resign,white,15+0,jojo58,1500,shivangithegenius,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
G5S21pXK,FALSE,34,resign,white,30+30,rajuppi,2449,shivangithegenius,978,A21,English Opening: King's English Variation |  Reversed Sicilian,3
R9a2DLwe,FALSE,32,draw,draw,20+25,white_queen_1990,1207,shivangithegenius,978,B70,Sicilian Defense: Dragon Variation,10
r4LcBZA7,FALSE,71,resign,black,5+5,milestretch,1241,shivangithegenius,978,B23,Sicilian Defense: Closed Variation,3
SDDXGw21,FALSE,30,resign,white,30+0,stephen789,1500,shivangithegenius,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3
oqoT4DLS,FALSE,66,resign,white,40+40,rajuppi,2443,shivangithegenius,978,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17
eSociDPG,FALSE,41,resign,white,20+0,hmbrgr,1500,shivangithegenius,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3
mpzYDfIK,FALSE,49,resign,white,15+0,jjwrchess,1500,shivangithegenius,978,B20,Sicilian Defense: Bowdler Attack,3
27zreJYy,FALSE,3,resign,black,15+0,shivangithegenius,978,jjwrchess,1500,B01,Scandinavian Defense,2
IRYkgI8N,FALSE,7,resign,white,10+0,adnanraj,1343,shivangithegenius,978,B20,Sicilian Defense: Bowdler Attack,3
tLnhk43J,FALSE,35,mate,white,40+40,rajuppi,2436,shivangithegenius,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
iq3Kz06t,FALSE,41,mate,white,40+40,rajuppi,2436,shivangithegenius,978,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
AAw1TiNN,FALSE,5,resign,black,10+0,shivangithegenius,978,balkarec,1500,C00,French Defense: Normal Variation,3
n4vRYUCW,FALSE,7,resign,white,10+0,lucasimeon,1500,shivangithegenius,978,C21,King's Pawn Game: Beyer Gambit,4
KYPdQv8e,FALSE,53,mate,white,10+0,shivangithegenius,978,lucasimeon,1500,A80,Dutch Defense,2
p30PeXvE,FALSE,36,resign,black,10+0,lucasimeon,1500,shivangithegenius,978,A20,English Opening: King's English Variation,2
PBS4FEld,TRUE,8,resign,white,16+0,wing175,1521,gerfsh,1162,A04,Zukertort Opening: Ross Gambit,2
0lDqWVlz,TRUE,3,resign,white,6+10,caramiecho72,1407,gerfsh,1500,B23,Sicilian Defense: Closed Variation,3
O3wdIwg7,TRUE,28,resign,white,10+0,mazyaraghgmail,1492,wpc96,1458,C26,Vienna Game: Mengarini Variation,5
48ktrxLp,TRUE,30,resign,black,10+0,anrk,1414,wpc96,1442,C41,Philidor Defense: Larsen Variation,8
i2GBGO0R,TRUE,44,resign,black,10+0,wpc96,1457,tbaruel,1294,C44,Scotch Game,5
QZSTu1aT,TRUE,29,resign,white,10+0,acahn,1525,wpc96,1466,C41,Philidor Defense: Lopez Countergambit,6
9tU9MM6P,TRUE,37,resign,black,8+10,iskendermyucel,1207,oldpaths,1579,C00,French Defense: Knight Variation,3
ztpC1S2c,TRUE,49,resign,white,8+12,oldpaths,1567,david1488,1573,A40,Modern Defense,2
qc8aH5XL,TRUE,32,resign,black,8+12,oldpaths,1578,lc777,1605,A40,Horwitz Defense,2
6sTz6t7D,TRUE,25,resign,white,8+12,jordanfury,1939,oldpaths,1581,E10,Blumenfeld Countergambit #2,6
XuyVUkDi,TRUE,40,mate,black,5+10,porquepepe,1618,oldpaths,1568,C00,French Defense #2,2
D5Oa4vGO,TRUE,39,resign,white,7+12,gio1212,1755,oldpaths,1574,A04,Zukertort Opening: Kingside Fianchetto,2
6QAiH2Yy,TRUE,57,resign,white,15+10,oldpaths,1561,rubberchicken04,1596,A45,Indian Game,2
l7top9ps,TRUE,78,resign,black,5+40,berejokserg,1500,oldpaths,1554,C00,French Defense: Queen's Knight,3
nG3Of11I,TRUE,61,resign,white,15+5,oldpaths,1544,trump216bc,1461,D00,Queen's Pawn Game: Mason Attack,3
cUzM68JF,TRUE,44,resign,black,20+5,oldpaths,1563,efer003,1335,D00,Queen's Pawn Game: Mason Attack,3
NZSBXWl2,TRUE,62,mate,black,20+5,oldpaths,1579,fcolpo,1470,A41,Queen's Pawn,2
DHuXFP6C,TRUE,87,mate,white,20+5,chesschumpchamp,1617,oldpaths,1590,A45,Indian Game,2
00R4UOcU,TRUE,54,mate,black,20+5,aminox,1207,oldpaths,1588,C02,French Defense: Advance |  Steinitz Variation,7
IN15cBnB,TRUE,54,resign,black,15+5,oldpaths,1595,sale0706,1547,D00,Queen's Pawn Game: Mason Attack,3
WYOts2ME,TRUE,37,resign,white,15+5,redar1,1855,oldpaths,1599,C01,French Defense: Exchange Variation,5
oWFQ8mnz,TRUE,50,resign,white,15+5,oldpaths,1589,insequitur,1547,A40,Horwitz Defense,2
i2I8y9Xh,TRUE,131,resign,white,30+0,oldpaths,1571,tb-123,1728,D02,Queen's Pawn Game: London System,5
osPCRdxJ,TRUE,48,resign,white,30+0,tb-123,1720,oldpaths,1579,C00,French Defense: Chigorin Variation,3
Mi1AmkiI,TRUE,47,resign,black,15+5,oldpaths,1579,iris_foxspring,2105,D02,Queen's Pawn Game: London System,5
7kK30TmL,TRUE,64,mate,black,15+5,zoro55,1768,oldpaths,1560,C00,French Defense: La Bourdonnais Variation,3
ThCXomTn,TRUE,61,resign,white,15+5,oldpaths,1552,geburah,1436,D00,Queen's Pawn Game: Mason Attack,3
4dH72B3d,TRUE,57,mate,white,15+5,oldpaths,1536,urmil007,1667,D02,Queen's Pawn Game: London System,5
4jRtIZTy,TRUE,51,resign,white,15+5,serai,1521,oldpaths,1549,A10,English Opening: Anglo-Lithuanian Variation,2
wNK2HdLb,TRUE,58,mate,black,15+5,allahdeweswin,1251,oldpaths,1545,A00,Crab Opening,3
d62Tg4dc,TRUE,71,resign,white,15+5,oldpaths,1537,antoniogallero,1408,D00,Queen's Pawn Game: Mason Attack,3
TaSQfvww,TRUE,114,resign,white,15+5,oldpaths,1522,matheuswillx,1512,A40,Queen's Pawn,1
Xwpzq87m,TRUE,39,resign,white,15+5,euler_jr,1602,oldpaths,1532,C18,French Defense: Winawer Variation |  Advance Variation #2,11
AHmgnsKz,TRUE,20,resign,black,15+5,oldpaths,1543,euler_jr,1593,D02,Queen's Pawn Game: London System,5
MfNml1rl,TRUE,48,resign,black,30+0,oldpaths,1556,krillnor,1539,D00,Queen's Pawn Game: Mason Attack,3
mEAvshF2,TRUE,34,mate,black,20+10,hoanghieudro2,1409,oldpaths,1548,C00,French Defense: Knight Variation,3
ySsVdRfw,TRUE,51,resign,white,20+10,oldpaths,1539,hoanghieudro2,1418,D02,Queen's Pawn Game: London System,5
ylLqmXwb,TRUE,69,resign,white,20+10,ehabhaddad,1603,oldpaths,1550,C00,French Defense: Queen's Knight,3
8mceLIXN,TRUE,28,resign,white,20+10,oldpaths,1542,gabrielsol,1399,D00,Queen's Pawn Game: Steinitz Countergambit,4
YmJpuJkM,TRUE,62,resign,black,20+10,oldpaths,1546,crushmik,1877,D02,Queen's Pawn Game: London System,5
PNNfempy,TRUE,62,mate,black,20+10,amary33,1134,oldpaths,1535,A47,Queen's Indian Defense,4
TVfozmF5,TRUE,85,mate,white,20+10,oldpaths,1513,remisero,1784,A40,Horwitz Defense,2
4LX77G3m,TRUE,38,resign,white,20+10,oldpaths,1501,ryan94,1445,D02,Queen's Pawn Game: London System,5
nBfSissu,FALSE,14,resign,white,45+0,lotfibma,1500,hollyandclaws,1500,C50,Italian Game: Giuoco Pianissimo |  Normal,8
h1unxHlo,TRUE,113,draw,draw,15+0,avelez8,1745,anonymous1705,1714,D06,Queen's Gambit Refused: Marshall Defense,4
OIyTAHCP,TRUE,62,resign,white,15+0,avelez8,1734,ars01,1748,D06,Queen's Gambit Refused: Marshall Defense,4
bnCnIJSz,TRUE,101,resign,white,10+0,salah04,1942,avelez8,1739,C10,French Defense: Marshall Variation,6
ZzWyY1f8,TRUE,75,outoftime,white,10+0,avelez8,1724,vincenzo2000,1855,C45,Scotch Game,7
mkKSL3Ev,TRUE,135,mate,white,10+0,majid_alsalhi,1951,avelez8,1729,C02,French Defense: Advance Variation |  Main Line,11
aVwWNjNR,TRUE,81,outoftime,white,10+0,avelez8,1726,pavankumarg,1388,C41,Philidor Defense,5
DNUmSBH4,TRUE,46,resign,black,10+0,avelez8,1735,mrmaccc,1806,D80,Gruenfeld Defense,6
Tlng5eqN,TRUE,70,mate,black,10+0,hopefullman15,1597,avelez8,1728,C00,French Defense: Knight Variation,3
wljkejE0,TRUE,39,resign,white,10+0,laeca53,1743,avelez8,1738,C10,French Defense: Rubinstein Variation |  Fort Knox Variation,10
iNZuj8bY,TRUE,91,resign,white,10+0,totoymate,1721,avelez8,1750,D30,Queen's Gambit Declined: Traditional Variation,7
Kan2JKOp,TRUE,137,outoftime,white,10+0,avelez8,1746,frynoodles,1487,D20,Queen's Gambit Accepted: Old Variation,5
bCUwPEJ7,TRUE,46,resign,black,10+0,jdalcheco,1744,avelez8,1735,C02,French Defense: Advance Variation |  Paulsen Attack,9
zTwM10Si,TRUE,18,resign,black,10+0,avelez8,1749,yolandoparada,1631,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9
PBQ5Il7e,TRUE,28,resign,black,10+0,avelez8,1769,murattibogurcu,1396,D20,Queen's Gambit Accepted: Old Variation,5
z1LTn4pe,TRUE,40,resign,black,5+8,cdvh,1795,hunecel,1760,A46,Yusupov-Rubinstein System,5
7NKtCk3B,TRUE,111,mate,white,15+0,hafedfree,1729,cdvh,1795,D31,Queen's Gambit Declined: Queen's Knight Variation,5
TMtvbg3w,TRUE,54,mate,black,10+0,decem,1795,cdvh,1784,C64,Ruy Lopez: Classical Variation,6
0OXPfTEt,TRUE,33,resign,white,10+0,cdvh,1770,japcan,1872,D02,Queen's Pawn Game: Zukertort Variation,3
YzMf40DM,TRUE,90,resign,black,10+0,cdvh,1783,raubstein,1721,D02,Queen's Pawn Game: London System,5
q3NHAFFp,TRUE,90,resign,black,10+0,ashishbarda,1884,cdvh,1768,C64,Ruy Lopez: Classical Variation |  Central Variation,7
Gz7Icasx,TRUE,40,mate,black,10+0,omid163,1756,cdvh,1756,C24,Bishop's Opening: Ponziani Gambit,5
3n4poRIX,TRUE,49,outoftime,white,8+0,cdvh,1724,capito2017,1958,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5
XRuQPSzH,TRUE,50,resign,black,10+0,chess-brahs,2036,cdvh,1706,A08,King's Indian Attack: French Variation,6
XPZikam7,TRUE,59,mate,white,10+0,cdvh,1706,dashy1,925,D02,Queen's Pawn Game: London System,5
5SNh53F9,TRUE,26,outoftime,black,15+15,mosheaugustyn,1244,sassou,1219,B00,Nimzowitsch Defense: Mikenas Variation,4
ezdEKpqG,TRUE,23,mate,white,15+15,sassou,1215,memoryberat,921,C50,Italian Game,5
WyQjriEX,TRUE,118,mate,black,15+15,fatmat,1350,sassou,1201,B03,Alekhine Defense #2,5
vAOIY0jj,TRUE,66,mate,black,15+15,sassou,1210,alpheus23,1280,B29,Sicilian Defense: Nimzowitsch Variation,4
gHld9WSr,TRUE,120,draw,draw,15+15,sureka_akshat,1139,sassou,1212,C50,Four Knights Game: Italian Variation,8
dh2xQb3X,TRUE,36,mate,black,15+15,sassou,1220,kapi77,1341,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
TKwuIzb6,TRUE,26,mate,black,15+15,sassou,1234,cohiba_313,1359,C55,Italian Game: Anti-Fried Liver Defense,6
s752sCLr,TRUE,62,resign,black,15+15,sassou,1275,bagelsfu,1236,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
lKYmVLZt,TRUE,37,resign,white,15+15,sabayossi,1433,sassou,1282,B02,Alekhine Defense: Maroczy Variation,3
dRhehsEy,TRUE,24,resign,black,15+15,trelynn17,1132,sassou,1276,D06,Queen's Gambit Refused: Marshall Defense,4
7rbdtPwO,FALSE,47,resign,white,30+2,sassou,1276,maougnassou,1308,C55,Italian Game: Anti-Fried Liver Defense,6
ahwTovI0,TRUE,37,resign,black,15+15,laeufer26,1228,sassou,1266,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,7
fgK91ojo,TRUE,24,resign,black,15+15,sassou,1273,popsun,1409,B13,Caro-Kann Defense: Exchange Variation,5
Cmhkui8U,TRUE,9,resign,white,15+15,mdaboczi,1338,sassou,1277,D00,Queen's Pawn Game #2,3
TRpFAEWd,TRUE,47,mate,white,15+15,sassou,1263,marktop1,1336,B57,Sicilian Defense: Modern Variations |  Main Line,8
btHFH9xr,TRUE,85,mate,white,15+15,rougethunder,1316,sassou,1273,A20,English Opening: King's English Variation,2
G9xaiPFl,TRUE,39,mate,white,15+15,sassou,1248,shobik24,1253,B00,Goldsmith Defense,2
RkMlSx4r,TRUE,58,mate,black,15+15,maninayebi,1335,sassou,1233,E20,Nimzo-Indian Defense,6
Z1CTghfR,TRUE,95,mate,white,15+15,sassou,1223,agilm,1189,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
X4QqWp8Q,TRUE,2,resign,black,15+15,pune123,1443,sassou,1204,B02,Alekhine Defense,2
R6dF4yRx,TRUE,97,mate,white,15+15,failedocean,1227,sassou,1216,D06,Queen's Gambit Refused: Marshall Defense,4
PLxCc87r,TRUE,12,draw,draw,15+15,sassou,1215,lumipa,1219,C50,Italian Game,5
p7a4FGwp,TRUE,30,resign,white,15+15,fastandbulbous420,1227,sassou,1227,C50,Four Knights Game: Italian Variation,8
3udM9T6k,TRUE,43,mate,white,10+0,minimouf,1550,sassou,1225,E11,Bogo-Indian Defense: Exchange Variation,8
hkMNenrh,TRUE,11,resign,white,15+15,goodolddaystr,1325,sassou,1234,B02,Alekhine Defense,2
jrmlULM0,TRUE,72,mate,black,15+15,gonzalogp98,1212,sassou,1221,B02,Alekhine Defense: Saemisch Attack,5
JbLparSt,TRUE,156,mate,black,15+15,sassou,1226,vladimir_shindin,1478,C40,King's Knight Opening,3
mqZFkCf3,TRUE,18,resign,black,25+0,sassou,1228,martin74,1626,D30,Queen's Gambit Declined,4
dZn9WLT5,FALSE,77,mate,white,10+2,gotochess,1191,sassou,1228,C11,French Defense: Classical Variation |  Steinitz Variation,7
MgL176RS,TRUE,32,resign,black,30+0,quent0,1422,sassou,1210,B02,Alekhine Defense: Two Pawn Attack,5
V16nc5AF,TRUE,35,resign,white,15+15,dangerflaps,1186,sassou,1223,C28,Vienna Game: Vienna Gambit,5
GT8TdRlm,TRUE,85,mate,white,15+15,sassou,1212,shazzam9999,1212,B06,Modern Defense,2
2P2u5f63,TRUE,50,resign,black,15+15,sassou,1228,chessn00b47,1343,B01,Scandinavian Defense: Panov Transfer,6
15nlkNRf,TRUE,111,resign,white,10+10,japonxino,1865,isachess,1862,A46,Yusupov-Rubinstein System,5
xwl41jna,TRUE,65,outoftime,white,7+2,isachess,1852,roshan_ie,1852,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
1zRjgcqm,TRUE,73,resign,white,15+0,cliff_walker,1833,isachess,1863,A56,Benoni Defense,4
vfnLULoh,TRUE,125,resign,white,15+0,isachess,1851,sergej1956,1918,B27,Sicilian Defense: Hyperaccelerated Dragon,4
ut6LIGPI,TRUE,76,resign,black,15+0,isachess,1861,pogrib,1844,C55,Italian Game: Anti-Fried Liver Defense,6
1KbSJtjs,TRUE,65,outoftime,white,10+0,isachess,1853,tartetatin,1774,C65,Ruy Lopez: Berlin Defense #2,6
cqrATt9o,TRUE,41,mate,white,10+0,juncinmestrella,1910,isachess,1862,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11
deKfSOPy,TRUE,59,resign,white,10+0,isachess,1851,robinhood76,1890,C00,French Defense: Knight Variation,3
vQ1psjxd,TRUE,70,resign,black,15+5,tohaimr7,1860,isachess,1840,B50,Sicilian Defense: Delayed Alapin,5
k1qV5HHz,TRUE,34,resign,white,25+25,zpectral-chess,1828,isachess,1848,B51,Sicilian Defense: Canal-Sokolsky Attack,5
QQ3iIM2V,TRUE,69,outoftime,white,8+0,javier_temperley,1855,isachess,1858,E00,Amar Opening,1
GppFo58m,TRUE,63,resign,white,10+10,isachess,1847,jadesummer,1895,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
BoDJGVyk,TRUE,107,resign,white,10+10,jadesummer,1885,isachess,1856,B50,Sicilian Defense,4
tqirXAEm,TRUE,58,resign,white,30+0,isachess,1847,borvel,1802,A40,Queen's Pawn,1
GLC4oNZR,FALSE,34,resign,black,20+5,isachess,1847,homayoni,1856,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,6
3eLsB99C,TRUE,100,outoftime,black,15+0,demetrio50,1840,isachess,1837,B22,Sicilian Defense: Alapin Variation,3
M6zMVwqK,TRUE,80,resign,black,5+5,isachess,1848,maxpiz5,1806,B40,Sicilian Defense: French Variation,4
yrQWTJVz,TRUE,44,resign,black,15+0,isachess,1860,philiveykk,1820,C00,French Defense: Knight Variation,3
aF6DiZZe,TRUE,40,outoftime,black,10+0,azcatdave,1854,isachess,1849,A45,Paleface Attack,3
0dm3RaQv,TRUE,105,outoftime,white,10+0,fikr,1895,isachess,1859,B50,Sicilian Defense,4
BxxAvvER,TRUE,50,resign,black,15+0,isachess,1866,samdooley,1965,B31,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,6
fPPfEuu5,FALSE,144,outoftime,draw,10+0,isachess,1866,teguhmaster,1843,B50,Sicilian Defense,4
Hysqcekp,FALSE,81,resign,black,10+0,nf3isstrong,1835,isachess,1866,B18,Caro-Kann Defense: Classical Variation |  Flohr Variation,11
oaKcGCrO,TRUE,69,resign,black,15+0,isachess,1877,dzigibau,1860,C61,Ruy Lopez: Bird Variation,6
xMezmOBz,TRUE,77,mate,white,7+8,edil1800,1849,isachess,1874,B90,Sicilian Defense: Najdorf Variation |  Adams Attack,11
46AuHfcq,TRUE,158,mate,black,6+6,humb,1835,isachess,1865,E10,Blumenfeld Countergambit #2,6
A7ddojjI,TRUE,107,draw,draw,15+5,isachess,1866,claudiucojo,1835,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
SGqoxO3v,TRUE,117,mate,white,15+0,isachess,1856,abikhoshnavaz,1829,C78,Ruy Lopez: Morphy Defense #2,12
pHJ5zXyE,TRUE,44,resign,white,10+0,isachess,1845,sakkkakas,1846,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
WqMvA7iE,TRUE,40,resign,black,15+0,seetripuu,1834,isachess,1835,B30,Sicilian Defense: Old Sicilian,4
s3v6jMaX,TRUE,59,resign,white,15+5,seif22,1846,isachess,1845,B10,Caro-Kann Defense,2
hl3zLZmV,FALSE,110,resign,black,10+0,isachess,1845,nicolo97,1917,D06,Queen's Gambit Refused: Marshall Defense,4
PHYPEO42,TRUE,30,resign,black,15+0,isachess,1858,tajbo4,1790,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
NgZ8xxFe,TRUE,54,resign,black,10+0,nespil,1871,isachess,1847,B30,Sicilian Defense: Old Sicilian,4
1ZeBVc5V,TRUE,69,resign,black,10+0,isachess,1846,turix,1869,C41,Philidor Defense,5
OmwDxZpJ,TRUE,178,mate,black,16+0,sergeylobanov,1843,isachess,1836,B22,Sicilian Defense: Alapin Variation,3
JewxmuG9,TRUE,136,resign,black,15+0,clown_with_a_knife,1800,isachess,1826,B20,Sicilian Defense,2
0gTDO6Av,FALSE,124,mate,black,8+0,taranga,1283,whfo,1267,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
t7vvcwqO,TRUE,96,resign,black,10+4,phileasfrog,1290,taranga,1270,A00,Hungarian Opening,1
igSDFKv0,TRUE,53,outoftime,white,12+0,patrizio67,1331,taranga,1281,D00,Queen's Pawn Game #3,4
facMwkUo,TRUE,39,mate,white,10+0,piroz_xucestih,1304,taranga,1292,A00,Van't Kruijs Opening,1
j5KY62yS,TRUE,10,mate,black,10+0,taranga,1305,piroz_xucestih,1293,C00,French Defense: Normal Variation,3
nyYULwUl,TRUE,51,mate,white,10+0,lelik3310,1308,taranga,1317,C22,Center Game: Berger Variation,8
h0YsGMhj,TRUE,18,resign,black,15+0,cesar1945,1296,taranga,1305,C54,Italian Game: Giuoco Piano |  Greco's Attack,13
o4T7dj5h,FALSE,106,mate,black,30+0,marmoraka5,968,taranga,1305,C50,Four Knights Game: Italian Variation,8
VgNt0SSX,FALSE,38,mate,black,15+15,taranga,1293,vikrant_dalvi,1466,C41,Philidor Defense #3,5
UvqLtnPM,TRUE,59,mate,white,7+2,xapoh,1500,taranga,1299,C68,Ruy Lopez: Exchange Variation,7
1b0kpInt,TRUE,111,mate,white,7+2,taranga,1288,jamila1234,1232,B12,Caro-Kann Defense,3
dJEtAQp7,TRUE,28,resign,black,7+2,taranga,1289,hknight_chess,2108,C77,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9
ZPHBiKBY,FALSE,101,outoftime,white,7+2,blassterkal,1431,taranga,1289,C22,Center Game: Normal Variation,6
I8odmGjb,FALSE,15,mate,white,7+2,striker123,1806,taranga,1289,C45,Scotch Game,7
DijZlfMy,FALSE,42,resign,white,7+2,taranga,1289,yugesh_naidu,1311,C41,Philidor Defense #3,5
LyRqbD4d,FALSE,118,resign,black,7+2,blassterkal,1431,taranga,1289,A40,Englund Gambit Declined |  Reversed French,3
CvakmVNb,FALSE,34,resign,black,7+2,taranga,1289,andreas636,1484,C50,Giuoco Piano,6
O037dETy,FALSE,60,resign,black,7+2,taranga,1289,armourbuddy,1810,A42,Sicilian Defense: Hyperaccelerated Fianchetto,5
CxQlHSnq,FALSE,66,resign,black,7+2,striker123,1806,taranga,1289,C44,Scotch Game,5
Q0jogkvi,FALSE,21,outoftime,white,5+8,taranga,1289,snapper,1500,C41,Philidor Defense #3,5
QurxyQkA,TRUE,73,mate,white,15+1,moon50,1409,taranga,1297,C70,Ruy Lopez: Morphy Defense |  Caro Variation,8
mJ9VpdxV,TRUE,159,mate,white,15+1,taranga,1280,moon50,1485,C55,Italian Game: Anti-Fried Liver Defense,6
edYOVb5F,FALSE,74,resign,white,15+0,taranga,1280,italiantranslator,1211,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
GstYv2mJ,FALSE,28,mate,black,15+0,italiantranslator,1211,taranga,1280,A00,Crab Opening,3
